ImagePath	TextPresent
/content/Handwritten_rec/Train/c01-066.png	TheevilthatByrondidcertainlylivedafterhim
/content/Handwritten_rec/Train/c03-000e.png	ThefilmversionofMissShelaghDelaney'splayATasteofHoneyopensattheLeicesterSquareTheatretomorrow.IthasbeenproducedanddirectedbyMr.TonyRichardson
/content/Handwritten_rec/Train/c02-012.png	Everyunnecessarydetail
/content/Handwritten_rec/Train/c03-000d.png	ThefilmversionofMissShelaghDelaney'splayATasteofHoneyopensattheLeicesterSquareTheatretorow.IthasbeenproducedanddirectedbyMr.TonyRichardson
/content/Handwritten_rec/Train/c02-030.png	Whenthefinalmiracledoesoccur
/content/Handwritten_rec/Train/c02-078.png	Ithasagreatlookofspeedandtechnicalfunaboutit
/content/Handwritten_rec/Train/c01-014.png	Thelibretto
/content/Handwritten_rec/Train/c03-003b.png	SentenceDatabaseC03-003Thisisnotafilmedplay.Ithasbeenconceivedthroughoutintermsofthecinema
/content/Handwritten_rec/Train/c02-035.png	ItismostunfairtocallMalachiasacut-rateDolceVita
/content/Handwritten_rec/Train/c03-000b.png	ThefilmversionofMissShelaghDelaney'splayATasteofHoneyopensattheLeicesterSquareTheatretomorrow.IthasbeenproducedanddirectedbyMr.TonyRichardsonwhoisalsopart-authorwithMissDelaneyofthescript
/content/Handwritten_rec/Train/c02-026.png	AsummaryofthestorycangivealmostnoindicationofthescopeofWicki'sartistry.Hetellshisstorybestinthefacesofhiscrowds
/content/Handwritten_rec/Train/c02-022.png	Soonacarnivalspringsuponthesightofthemissingbuilding.TheChurchrebukesthepoormonkforhismiracle
/content/Handwritten_rec/Train/c02-056.png	Thisdirectorisatlastbeingre-evaluatedandgivenhisproperplaceinthehistoryoftheGermanfilm.Mostcharmingwashistongue-in-cheekUnheimlicheGeschichten1920)
/content/Handwritten_rec/Train/c03-000f.png	ThefilmversionofMissShelaghDelaney'splayATasteofHoneyopensattheLeicesterSquareTheatretomorrow.IthasbeenproducedanddirectedbyMr.TonyRichardson
/content/Handwritten_rec/Train/c02-007.png	In1950hebegantotakephotographsnotonlyinGermanybutalsoinAfricaand.America.AnexhibitionoftheseworkswhichisnowonviewinaBerlingalleryis.mostimpressive.AsFriedrichDu'rrenmatt
/content/Handwritten_rec/Train/c03-003a.png	Thisisnotafilmedplay.Ithasbeenconceivedthroughoutintermsofthecinema
/content/Handwritten_rec/Train/c03-000a.png	ThefilmversionofMissShelaghDelaney'splayATasteofHoneyopensattheLeicesterSquareTheatretomorrow.IthasbeenproducedanddirectedbyMr.TonyRichardson
/content/Handwritten_rec/Train/c03-000c.png	hefilmversionofMissShelaghDelaney'splayATasteofHoneyopensattheLeicesterSquareTheatretomorrow.IthasbeenproducedanddirectedbyMr.TonyRichardson
/content/Handwritten_rec/Train/c02-059.png	SentenceDatabaseC02-059Prizesbeingwhattheyare
/content/Handwritten_rec/Train/c02-017.png	FollowingBruceMarshall'soriginalnovelwithconsiderablefidelity
/content/Handwritten_rec/Train/c02-049.png	Strangelyenough
/content/Handwritten_rec/Train/c02-003.png	ItwouldnowseemthatWicki'snamemustbeaddedtothislist
/content/Handwritten_rec/Train/c02-089.png	WithalargeblondyouthofquitedazzlingdumbnesscalledTroyDonahue;andClaudetteColbert
/content/Handwritten_rec/Train/c02-000.png	AFTERtendaysofintermittent
/content/Handwritten_rec/Train/c02-082.png	BelmondoreappearsattheparisPullmaninModeratoCantibile(curiouslytranslatedintoSevenDays...SevenNights...Acertificate)
